DATE,USALORSGPNOSTSAM
1976-01-01,98.7487971238846
1976-02-01,98.949026675552
1976-03-01,99.0793118304592
1976-04-01,99.1407462268397
1976-05-01,99.1450926728199
1976-06-01,99.1087792923627
1976-07-01,99.0508033775496
1976-08-01,98.9898280294529
1976-09-01,98.94276813594
1976-10-01,98.9235333697535
1976-11-01,98.9442971358421
1976-12-01,99.0146792943206
1977-01-01,99.1379579543585
1977-02-01,99.3128564483241
1977-03-01,99.5313664123735
1977-04-01,99.7726702284642
1977-05-01,100.009424193324
1977-06-01,100.212333300552
1977-07-01,100.355041267878
1977-08-01,100.41934479142
1977-09-01,100.404628567296
1977-10-01,100.342647204577
1977-11-01,100.281536701492
1977-12-01,100.273372358489
1978-01-01,100.362069945195
1978-02-01,100.57426131074
1978-03-01,100.90311263078
